order_id,order_date,product_id,product_category,price,discount_percent,quantity_sold,customer_region,rating
1,2022-04,2637,Books,128.75,10.0,4,North America,3.5
2,2023-03,2300,Fashion,302.6,20.0,5,Asia,3.7
4,2022-04,2522,Books,371.95,15.0,4,Middle East,5.0
5,2022-03,1717,Beauty,201.68,0.0,4,Middle East,4.6
6,2023-12,1777,Sports,385.17,30.0,3,Asia,3.8
8,2023-09,3537,Fashion,111.59,30.0,4,Middle East,3.4
9,2022-05,3262,Books,373.62,0.0,4,Asia,2.8
10,2023-04,4174,Sports,134.81,15.0,2,Middle East,2.0
11,2022-08,4878,Electronics,67.43,20.0,4,Europe,4.3
12,2022-11,3637,Books,150.19,0.0,1,North America,4.4
13,2023-04,3222,Electronics,89.81,0.0,3,Europe,3.6
14,2022-03,4925,Home & Kitchen,213.22,0.0,3,Europe,1.4
15,2023-01,1051,Beauty,66.65,10.0,2,North America,4.6
16,2022-04,3344,Electronics,419.66,0.0,3,Middle East,2.7
17,2023-10,3011,Sports,391.09,5.0,3,Middle East,3.7
18,2022-05,3222,Home & Kitchen,156.95,30.0,3,Middle East,2.9
19,2023-10,1968,Home & Kitchen,262.36,10.0,1,Asia,4.6
20,2022-11,3390,Fashion,428.24,30.0,3,Middle East,1.2
23,2023-02,1170,Beauty,362.4,15.0,2,North America,2.4
24,2023-01,4108,Beauty,72.05,20.0,2,Middle East,4.4
27,2022-06,2087,Books,290.06,20.0,5,Asia,4.1
28,2023-04,4557,Sports,191.67,10.0,5,Asia,4.3
29,2022-11,1454,Sports,63.74,10.0,1,Europe,4.1
30,2022-01,4771,Electronics,239.79,15.0,5,North America,2.8
31,2022-09,1726,Fashion,256.57,20.0,2,North America,3.6
32,2023-07,2432,Sports,394.76,10.0,3,North America,3.7
33,2023-04,1886,Fashion,333.51,0.0,5,Europe,4.1
34,2022-02,4053,Electronics,235.65,5.0,3,North America,4.3
35,2023-05,3802,Sports,165.55,5.0,2,North America,5.0
37,2023-04,2525,Books,416.86,10.0,3,Europe,1.9
38,2023-12,1635,Books,137.16,15.0,3,North America,1.3
39,2022-07,4014,Beauty,110.54,30.0,4,Europe,3.5
40,2023-11,3757,Sports,368.63,0.0,4,Asia,3.9
42,2023-07,4885,Books,135.0,30.0,5,Europe,3.9
43,2022-09,3325,Electronics,220.35,15.0,5,North America,3.1
44,2023-05,3082,Home & Kitchen,223.58,5.0,3,Middle East,3.5
45,2022-05,4696,Beauty,83.13,20.0,1,Middle East,2.6
47,2023-10,2056,Fashion,237.91,20.0,3,North America,2.1
48,2022-01,2748,Books,181.94,5.0,2,Asia,4.2
49,2022-06,3762,Books,146.0,15.0,2,Asia,4.5
50,2022-10,4468,Electronics,138.96,20.0,1,Middle East,3.4
51,2023-01,3301,Books,254.57,15.0,3,Middle East,2.5
53,2022-11,1322,Electronics,57.51,5.0,3,Asia,2.0
54,2022-01,3060,Beauty,165.98,5.0,1,Asia,3.6
55,2022-08,3097,Books,242.51,5.0,2,Asia,4.1
56,2022-12,2783,Books,348.44,20.0,4,North America,1.2
57,2023-07,4304,Fashion,150.09,10.0,4,Europe,2.3
58,2022-12,4000,Sports,335.19,0.0,4,Middle East,3.1
59,2022-04,4041,Fashion,196.64,20.0,2,Asia,2.1
60,2023-01,4611,Electronics,388.49,20.0,5,North America,1.3
61,2023-03,3663,Beauty,242.91,10.0,2,Asia,3.2
62,2023-03,3913,Sports,272.99,30.0,1,Middle East,4.6
63,2023-05,3143,Sports,220.36,5.0,4,Middle East,3.9
64,2022-02,1342,Fashion,70.78,15.0,1,Europe,2.4
65,2022-07,3903,Fashion,89.73,0.0,5,Asia,4.3
66,2022-03,3240,Beauty,203.24,10.0,3,North America,4.0
68,2023-01,3558,Electronics,74.39,15.0,3,Middle East,5.0
69,2022-01,2474,Sports,313.75,20.0,2,Asia,3.4
70,2023-01,2148,Home & Kitchen,318.45,0.0,5,Asia,1.1
71,2023-07,4152,Beauty,68.08,0.0,4,Asia,4.0
72,2022-04,1006,Sports,427.64,0.0,4,Middle East,3.5
73,2023-04,1329,Sports,429.08,30.0,4,North America,3.7
74,2023-12,1082,Books,192.97,10.0,1,North America,4.3
75,2023-02,2559,Sports,251.49,10.0,1,Europe,1.7
76,2023-12,3952,Electronics,401.77,20.0,2,North America,4.6
77,2023-07,3673,Beauty,382.54,0.0,4,Europe,3.7
78,2022-06,1526,Beauty,184.56,15.0,2,Asia,2.5
79,2022-07,2136,Sports,161.96,5.0,5,Middle East,2.2
80,2022-09,3487,Electronics,333.85,20.0,3,Middle East,1.2
81,2022-09,1889,Home & Kitchen,184.94,5.0,2,North America,3.9
82,2023-04,4925,Books,346.28,5.0,4,Europe,4.2
83,2023-04,1761,Home & Kitchen,69.16,20.0,1,North America,3.0
84,2023-12,2023,Fashion,337.66,0.0,2,Asia,2.6
85,2022-09,2680,Home & Kitchen,393.65,10.0,3,Middle East,1.2
87,2022-10,3056,Electronics,230.81,15.0,2,Middle East,4.7
88,2023-12,2855,Sports,282.35,15.0,2,North America,2.5
89,2023-12,4256,Fashion,148.01,20.0,2,Asia,3.2
90,2022-12,2061,Beauty,79.49,20.0,3,Middle East,4.4
91,2022-02,3770,Sports,90.69,30.0,5,North America,3.1
92,2022-08,1903,Sports,423.06,30.0,5,Europe,2.0
93,2022-07,1133,Sports,273.03,5.0,4,North America,3.0
94,2023-01,2968,Fashion,191.27,10.0,2,Europe,1.5
95,2023-05,2125,Beauty,432.66,0.0,4,Middle East,3.4
96,2022-02,2964,Beauty,61.33,15.0,3,Middle East,4.1
97,2022-06,2172,Home & Kitchen,299.14,30.0,5,Europe,1.9
98,2022-01,3039,Sports,396.42,10.0,3,North America,2.2
99,2022-03,1092,Sports,66.83,30.0,3,Middle East,4.6
100,2023-06,3849,Books,64.67,5.0,2,North America,4.3
103,2023-10,3911,Home & Kitchen,347.63,20.0,5,Europe,1.2
105,2022-03,4664,Books,337.27,20.0,2,Middle East,3.9
106,2022-05,3591,Beauty,155.29,5.0,2,Middle East,3.5
107,2023-05,1187,Sports,59.12,0.0,4,Middle East,3.4
109,2023-01,1165,Fashion,94.04,15.0,5,Middle East,2.8
110,2023-11,4548,Beauty,400.28,5.0,2,Middle East,3.9
111,2023-02,4038,Home & Kitchen,441.29,0.0,3,Europe,3.0
112,2022-10,4218,Beauty,267.51,15.0,3,North America,1.3
114,2023-05,2206,Electronics,64.33,0.0,1,Europe,3.2
117,2022-01,2179,Home & Kitchen,241.28,0.0,1,Middle East,1.1
118,2022-05,1829,Electronics,428.24,30.0,5,Middle East,4.3
119,2022-07,3735,Sports,278.83,20.0,1,Europe,4.3
120,2022-02,3161,Home & Kitchen,293.81,30.0,4,North America,1.5
121,2022-02,2778,Sports,84.69,5.0,3,North America,4.4
123,2023-02,3535,Home & Kitchen,119.41,20.0,4,Asia,1.9
124,2023-07,1436,Electronics,430.17,15.0,1,Asia,1.2
126,2022-04,3238,Sports,143.99,10.0,4,Middle East,4.4
127,2023-11,2810,Sports,366.6,5.0,3,North America,4.0
129,2023-07,3623,Books,372.02,15.0,1,Europe,5.0
130,2023-09,1793,Beauty,244.75,15.0,3,Middle East,4.5
131,2023-04,1172,Fashion,63.38,15.0,1,Middle East,4.7
132,2023-10,2280,Books,447.85,10.0,3,Middle East,4.7
133,2022-01,2738,Fashion,341.04,10.0,4,Middle East,2.2
134,2022-08,1449,Electronics,88.45,30.0,1,Asia,2.4
135,2023-05,4572,Books,268.74,10.0,1,Middle East,3.4
136,2023-02,2954,Electronics,166.31,20.0,1,Europe,2.0
137,2023-01,3124,Electronics,356.73,30.0,1,North America,2.0
138,2022-07,1614,Books,315.59,30.0,2,North America,3.9
139,2022-01,1225,Sports,98.82,10.0,1,Europe,2.0
140,2023-07,4297,Sports,124.85,30.0,5,North America,3.7
141,2023-04,1738,Books,353.75,30.0,1,Asia,4.6
142,2023-11,2631,Fashion,339.21,5.0,3,Middle East,1.4
143,2023-07,1940,Fashion,159.56,5.0,4,North America,3.0
144,2022-08,1075,Beauty,241.73,30.0,3,Asia,3.6
145,2023-07,4104,Fashion,236.26,20.0,5,Asia,1.5
146,2022-04,4665,Sports,66.6,15.0,2,Europe,1.6
147,2023-04,1068,Books,312.42,10.0,3,Middle East,1.4
148,2023-02,2874,Fashion,135.9,10.0,4,Europe,4.4
149,2022-08,3462,Books,232.65,10.0,4,Middle East,1.8
151,2022-06,4519,Books,308.95,5.0,5,Asia,3.5
152,2023-06,3409,Beauty,420.6,15.0,1,Middle East,3.5
153,2022-02,1869,Beauty,286.95,5.0,2,Middle East,3.7
154,2023-06,2393,Beauty,300.42,15.0,5,Asia,2.6
155,2022-06,4470,Electronics,338.29,20.0,5,Europe,2.0
156,2023-11,2837,Sports,102.19,15.0,5,North America,1.9
158,2022-03,4119,Sports,427.73,30.0,3,Europe,3.2
159,2023-08,3115,Books,424.07,0.0,2,North America,3.8
160,2023-11,4410,Sports,274.6,15.0,2,Europe,1.1
161,2023-07,4156,Fashion,102.55,10.0,4,Middle East,3.2
162,2023-07,4965,Home & Kitchen,409.54,5.0,2,Middle East,3.2
163,2023-10,3983,Sports,114.02,15.0,3,Europe,1.9
164,2022-01,1376,Home & Kitchen,431.15,5.0,1,Middle East,3.3
165,2023-09,2408,Sports,214.77,0.0,2,Asia,3.7
167,2022-12,3815,Books,409.35,0.0,4,Middle East,2.3
168,2022-11,2941,Books,282.51,0.0,5,Europe,2.3
169,2023-10,3997,Fashion,162.59,15.0,2,North America,3.0
170,2023-05,1204,Electronics,229.2,10.0,1,Europe,2.5
171,2022-12,1744,Sports,443.67,0.0,3,North America,1.4
172,2023-04,4136,Sports,105.56,10.0,4,Middle East,2.7
173,2022-08,3958,Sports,56.38,30.0,2,North America,3.5
174,2022-07,2852,Sports,393.47,30.0,4,Asia,2.4
175,2022-08,4150,Home & Kitchen,312.73,10.0,4,North America,2.3
176,2023-01,2549,Sports,435.63,15.0,3,Europe,5.0
177,2023-01,1324,Books,160.14,0.0,4,Middle East,4.5
178,2022-10,3425,Electronics,282.82,0.0,2,Europe,3.8
180,2023-09,4973,Books,424.11,15.0,2,Europe,2.8
181,2022-09,1680,Sports,99.64,30.0,2,North America,4.8
182,2022-12,1670,Home & Kitchen,61.74,10.0,4,North America,3.4
183,2023-12,3675,Beauty,244.85,30.0,4,Middle East,1.8
184,2023-04,4417,Beauty,373.73,0.0,4,Middle East,3.5
185,2023-02,4065,Sports,108.83,15.0,4,Middle East,2.3
186,2023-10,2727,Beauty,120.57,5.0,2,Asia,1.1
187,2022-11,2880,Sports,161.22,5.0,2,North America,2.1
188,2023-11,3482,Home & Kitchen,406.49,10.0,1,Middle East,5.0
189,2022-08,4766,Electronics,374.94,10.0,3,Middle East,1.5
190,2022-08,3932,Books,138.58,0.0,2,North America,1.5
191,2023-11,4449,Electronics,131.29,0.0,2,Europe,3.7
193,2023-01,4814,Home & Kitchen,309.33,0.0,2,Middle East,3.7
194,2023-11,2703,Fashion,116.37,30.0,4,Europe,2.5
195,2023-08,4086,Sports,74.49,15.0,1,North America,4.3
197,2022-08,4264,Books,126.94,5.0,5,North America,2.2
198,2023-11,2256,Sports,361.42,0.0,2,Middle East,1.2
199,2022-04,4334,Fashion,188.97,30.0,3,Asia,2.1
201,2023-03,1053,Books,165.51,0.0,2,Middle East,1.8
202,2023-07,1691,Books,79.35,20.0,4,Middle East,1.4
203,2022-09,2970,Sports,92.41,10.0,4,Middle East,3.9
204,2023-05,1003,Books,246.78,5.0,4,Asia,4.3
207,2022-04,1833,Books,95.74,5.0,4,North America,1.1
