order_id,order_date,product_id,product_category,price,quantity_sold,customer_region
1,2022-04,2637,Books,128.75,4,North America
2,2023-03,2300,Fashion,302.6,5,Asia
4,2022-04,2522,Books,371.95,4,Middle East
5,2022-03,1717,Beauty,201.68,4,Middle East
6,2023-12,1777,Sports,385.17,3,Asia
8,2023-09,3537,Fashion,111.59,4,Middle East
9,2022-05,3262,Books,373.62,4,Asia
10,2023-04,4174,Sports,134.81,2,Middle East
11,2022-08,4878,Electronics,67.43,4,Europe
12,2022-11,3637,Books,150.19,1,North America
13,2023-04,3222,Electronics,89.81,3,Europe
14,2022-03,4925,Home & Kitchen,213.22,3,Europe
15,2023-01,1051,Beauty,66.65,2,North America
16,2022-04,3344,Electronics,419.66,3,Middle East
17,2023-10,3011,Sports,391.09,3,Middle East
18,2022-05,3222,Home & Kitchen,156.95,3,Middle East
19,2023-10,1968,Home & Kitchen,262.36,1,Asia
20,2022-11,3390,Fashion,428.24,3,Middle East
23,2023-02,1170,Beauty,362.4,2,North America
24,2023-01,4108,Beauty,72.05,2,Middle East
27,2022-06,2087,Books,290.06,5,Asia
28,2023-04,4557,Sports,191.67,5,Asia
29,2022-11,1454,Sports,63.74,1,Europe
30,2022-01,4771,Electronics,239.79,5,North America
31,2022-09,1726,Fashion,256.57,2,North America
32,2023-07,2432,Sports,394.76,3,North America
33,2023-04,1886,Fashion,333.51,5,Europe
34,2022-02,4053,Electronics,235.65,3,North America
35,2023-05,3802,Sports,165.55,2,North America
37,2023-04,2525,Books,416.86,3,Europe
38,2023-12,1635,Books,137.16,3,North America
39,2022-07,4014,Beauty,110.54,4,Europe
40,2023-11,3757,Sports,368.63,4,Asia
42,2023-07,4885,Books,135.0,5,Europe
43,2022-09,3325,Electronics,220.35,5,North America
44,2023-05,3082,Home & Kitchen,223.58,3,Middle East
45,2022-05,4696,Beauty,83.13,1,Middle East
47,2023-10,2056,Fashion,237.91,3,North America
48,2022-01,2748,Books,181.94,2,Asia
49,2022-06,3762,Books,146.0,2,Asia
50,2022-10,4468,Electronics,138.96,1,Middle East
51,2023-01,3301,Books,254.57,3,Middle East
53,2022-11,1322,Electronics,57.51,3,Asia
54,2022-01,3060,Beauty,165.98,1,Asia
55,2022-08,3097,Books,242.51,2,Asia
56,2022-12,2783,Books,348.44,4,North America
57,2023-07,4304,Fashion,150.09,4,Europe
58,2022-12,4000,Sports,335.19,4,Middle East
59,2022-04,4041,Fashion,196.64,2,Asia
60,2023-01,4611,Electronics,388.49,5,North America
61,2023-03,3663,Beauty,242.91,2,Asia
62,2023-03,3913,Sports,272.99,1,Middle East
63,2023-05,3143,Sports,220.36,4,Middle East
64,2022-02,1342,Fashion,70.78,1,Europe
65,2022-07,3903,Fashion,89.73,5,Asia
66,2022-03,3240,Beauty,203.24,3,North America
68,2023-01,3558,Electronics,74.39,3,Middle East
69,2022-01,2474,Sports,313.75,2,Asia
70,2023-01,2148,Home & Kitchen,318.45,5,Asia
71,2023-07,4152,Beauty,68.08,4,Asia
72,2022-04,1006,Sports,427.64,4,Middle East
73,2023-04,1329,Sports,429.08,4,North America
74,2023-12,1082,Books,192.97,1,North America
75,2023-02,2559,Sports,251.49,1,Europe
76,2023-12,3952,Electronics,401.77,2,North America
77,2023-07,3673,Beauty,382.54,4,Europe
78,2022-06,1526,Beauty,184.56,2,Asia
79,2022-07,2136,Sports,161.96,5,Middle East
80,2022-09,3487,Electronics,333.85,3,Middle East
81,2022-09,1889,Home & Kitchen,184.94,2,North America
82,2023-04,4925,Books,346.28,4,Europe
83,2023-04,1761,Home & Kitchen,69.16,1,North America
84,2023-12,2023,Fashion,337.66,2,Asia
85,2022-09,2680,Home & Kitchen,393.65,3,Middle East
87,2022-10,3056,Electronics,230.81,2,Middle East
88,2023-12,2855,Sports,282.35,2,North America
89,2023-12,4256,Fashion,148.01,2,Asia
90,2022-12,2061,Beauty,79.49,3,Middle East
91,2022-02,3770,Sports,90.69,5,North America
92,2022-08,1903,Sports,423.06,5,Europe
93,2022-07,1133,Sports,273.03,4,North America
94,2023-01,2968,Fashion,191.27,2,Europe
95,2023-05,2125,Beauty,432.66,4,Middle East
96,2022-02,2964,Beauty,61.33,3,Middle East
97,2022-06,2172,Home & Kitchen,299.14,5,Europe
98,2022-01,3039,Sports,396.42,3,North America
99,2022-03,1092,Sports,66.83,3,Middle East
100,2023-06,3849,Books,64.67,2,North America
103,2023-10,3911,Home & Kitchen,347.63,5,Europe
105,2022-03,4664,Books,337.27,2,Middle East
106,2022-05,3591,Beauty,155.29,2,Middle East
107,2023-05,1187,Sports,59.12,4,Middle East
109,2023-01,1165,Fashion,94.04,5,Middle East
